chunk_id,doc_id,source,title,url,text
0,0,PubMed,Pathogenesis of Parkinson's Disease.,https://pubmed.ncbi.nlm.nih.gov/40185518/,"Both genetic and environmental factors modulate the risk of Parkinson's disease. In this article, all these pathophysiologic processes that contribute to damages at the tissue, cellular, organelle, and molecular levels, and their effects are talked about."
1,1,PubMed,The diagnosis of Parkinson's disease.,https://pubmed.ncbi.nlm.nih.gov/16361025/,"The correct diagnosis of Parkinson's disease is important for prognostic and therapeutic reasons and is essential for clinical research. Investigations of the diagnostic accuracy for the disease and other forms of parkinsonism in community-based samples of patients taking antiparkinsonian medication confirmed a diagnosis of parkinsonism in only 74% of patients and clinically probable Parkinson's disease in 53% of patients. Clinicopathological studies based on brain bank material from the UK and Canada have shown that clinicians diagnose the disease incorrectly in about 25% of patients. In these studies, the most common reasons for misdiagnosis were presence of essential tremor, vascular parkinsonism, and atypical parkinsonian syndromes. Infrequent diagnostic errors included Alzheimer's disease, dementia with Lewy bodies, and drug-induced parkinsonism. Increasing knowledge of the heteroge"
2,1,PubMed,The diagnosis of Parkinson's disease.,https://pubmed.ncbi.nlm.nih.gov/16361025/,"requent diagnostic errors included Alzheimer's disease, dementia with Lewy bodies, and drug-induced parkinsonism. Increasing knowledge of the heterogeneous clinical presentation of the various parkinsonisms has resulted in improved diagnostic accuracy of the various parkinsonian syndromes in specialised movement-disorder units. Also genetic testing and various other ancillary tests, such as olfactory testing, MRI, and dopamine-transporter single-photon-emission computed-tomography imaging, help with clinical diagnostic decisions."
3,2,PubMed,"Parkinson's Disease, Second Edition.",https://pubmed.ncbi.nlm.nih.gov/40983492/,"Parkinson's disease (PD), once stigmatized and hidden, is now widely acknowledged by patients and recognized by the public. Yet, fundamental questions about the disease's origins, mechanisms, and progression remain unanswered. The second edition of <i>Parkinson's Disease</i> provides an integrated, accessible resource for clinicians and research scientists. It offers a comprehensive bench-to-bedside overview of PD, with contributions from leading experts in the clinical spectrum and the pathology, genetics, and neurobiological aspects of the condition. New chapters reflect recent advances in areas such as disease progression, biomarkers, cell-based therapies, lipid biology, and the gut-brain axis. The book emphasizes the need for interdisciplinary collaboration and serves as an educational entry point to the field and a strategic guide to future PD research."
4,2,PubMed,"Parkinson's Disease, Second Edition.",https://pubmed.ncbi.nlm.nih.gov/40983492/,plinary collaboration and serves as an educational entry point to the field and a strategic guide to future PD research.
5,4,PubMed,Parkinson Disease.,https://pubmed.ncbi.nlm.nih.gov/27243427/,"Parkinson disease (PD) is a progressive neurodegenerative disease that affects one million people in the United States. This article reviews the etiology and pathophysiology of PD, risk factors, clinical manifestations, diagnostic criteria, and treatment of this common disease. Implications for home care clinicians are included."
6,5,PubMed,"Special Issue: ""New Challenges of Parkinson's Disease"".",https://pubmed.ncbi.nlm.nih.gov/41096828/,Parkinson's disease (PD) is the second most common neurodegenerative disorder affecting more than 10 million people worldwide [...].
7,6,PubMed,Parkinson's disease revisited.,https://pubmed.ncbi.nlm.nih.gov/10994535/,"Parkinson's disease (PD) is a neurodegenerative disorder that affects an estimated 1 million persons in the United States each year. Although PD has been studied for almost 50 years, several shortcomings in management still exist. Symptom management, addressing movement disorders, psychological aspects, sexual dysfunction, and gastrointestinal concerns may all affect the person with PD."
8,7,PubMed,Management of Motor Features in Advanced Parkinson Disease.,https://pubmed.ncbi.nlm.nih.gov/31733701/,"Advanced Parkinson disease (PD) is characterized by the presence of motor fluctuations becoming the focus of treatment, prominent postural instability, significant disability despite levodopa therapy, and the presence of symptoms refractory to levodopa therapy. In this article, the authors review the motor manifestations of patients with advanced PD, as well as the most common pharmacologic and nonpharmacologic available therapies."
9,8,PubMed,<i>Drosophila</i> Models of Sporadic Parkinson's Disease.,https://pubmed.ncbi.nlm.nih.gov/30373150/,"Parkinson's disease (PD) is the most common cause of movement disorders and is characterized by the progressive loss of dopaminergic neurons in the substantia nigra. It is increasingly recognized as a complex group of disorders presenting widely heterogeneous symptoms and pathology. With the exception of the rare monogenic forms, the majority of PD cases result from an interaction between multiple genetic and environmental risk factors. The search for these risk factors and the development of preclinical animal models are in progress, aiming to provide mechanistic insights into the pathogenesis of PD. This review summarizes the studies that capitalize on modeling sporadic (i.e., nonfamilial) PD using <i>Drosophila</i> <i>melanogaster</i> and discusses their methodologies, new findings, and future perspectives."
10,9,PubMed,There is no Parkinson disease.,https://pubmed.ncbi.nlm.nih.gov/18541790/,The term Parkinson disease defines a specific clinical condition characterized by a typical history and characteristic signs. This review examines the historical evolution of the concept of Parkinson disease and how the misunderstanding of Parkinson disease may be hindering clinical research trials. It is proposed that this syndrome be called Parkinson diseases or parkinsonism type 1 through infinity.
11,10,PubMed,Depression in Parkinson's disease.,https://pubmed.ncbi.nlm.nih.gov/1831480/,"Approximately 50% of patients with Parkinson's disease experience clinical depression. Neurotransmitter deficits in depression and Parkinson's disease suggest a common lesion may be responsible for this high incidence. In addition to similar psychological profiles, the clinical features of Parkinson's disease and depression likewise overlap making the distinction difficult. Differentiating these two diseases is very important, as each is treatable. The neuroscience nurse is in a unique position to evaluate the patient with Parkinson's disease for signs and symptoms of depression."
12,11,PubMed,Progress in Parkinson's disease-where do we stand?,https://pubmed.ncbi.nlm.nih.gov/18582530/,"Parkinson's disease was first described in 1817 by James Parkinson. It is one of the most common neurodegenerative disorders, affecting the nigrostriatal pathways involved in the control of movement. Since the introduction of L-DOPA as a therapy in the mid-1960s, clinical management of the symptoms has progressed, but, at present, it remains impossible to stop the disease progression or to restore lost functions. A better understanding of neurodegeneration and of midbrain neuronal development has allowed the development of new pharmaceutical compounds with neuroprotective properties and has shown the potential of neurone replacement therapies in Parkinson's disease. Even though major obstacles remain before these can be transferred to the clinic, the progress made in the last 10 years brings hope of improved therapies for Parkinson's disease. In this paper we review the current knowledge"
13,11,PubMed,Progress in Parkinson's disease-where do we stand?,https://pubmed.ncbi.nlm.nih.gov/18582530/,"linic, the progress made in the last 10 years brings hope of improved therapies for Parkinson's disease. In this paper we review the current knowledge of Parkinson's disease including its etiology, some of the current symptomatic therapeutic modalities, and recent progress in neuroprotective and cell replacement therapies."
14,12,PubMed,Parkinson's disease: one disease entity or many?,https://pubmed.ncbi.nlm.nih.gov/10370905/,"Although most neurologists accept that Parkinson's disease (PD) is a unique disorder, we still lack a valid diagnostic biological tool and therefore depend primarily on clinical examination in diagnosis. The distinction between PD and other parkinsonian syndromes is discussed."
15,13,PubMed,Parkinson's disease and neuropsychological assessment.,https://pubmed.ncbi.nlm.nih.gov/10495193/,"Neurological aspects of Parkinson's disease including symptomology, etiology, and chemotherapy are briefly reviewed. Recent developments in each area are also presented. Clinical considerations relevant to neuropsychological testing with the Parkinson's disease patient are discussed in terms of confounds that may hinder the accuracy of test result interpretation."
16,14,PubMed,The treatment of Parkinson's disease.,https://pubmed.ncbi.nlm.nih.gov/343079/,The treatment of Parkinson's disease is discussed. Levodopa is the most effective drug in this therapy. The place of other agents is discussed.
17,15,PubMed,Is it Parkinson's disease?,https://pubmed.ncbi.nlm.nih.gov/1444967/,The diagnosis of idiopathic Parkinson's disease is based on clinical assessment and is also a diagnosis of exclusion. A number of neurodegenerative disorders have signs in common with Parkinson's disease and are referred to as parkinsonisms. The physical findings that help to make an early diagnosis of Parkinson's disease and the atypical features that make another disease more likely are presented.
18,16,PubMed,Parkinson's disease: recent advances.,https://pubmed.ncbi.nlm.nih.gov/23409418/,Parkinson's disease is most common degenerative disorder. Diagnosis is clinical in majority of the patients. Small number of patients have family history and several types of familial Parkinson's disease is now known. Most of the patients have onset of symptoms in sixth decade. Response to dopa agonists and L-dopa is good and there are different reasons to choose any of the drug as first line treatment. Motor fluctuation presenting as wearing off and dyskinesias are main challenges in long term management.
19,17,PubMed,Pathophysiology of Parkinson's disease.,https://pubmed.ncbi.nlm.nih.gov/10349507/,"Parkinson's disease is a progressive disease with selective dopaminergic neuronal loss. The pathophysiology is at present better understood with plurifactorial etiology, including genetic predisposition and environmental toxic factors. The mechanisms of cell death are based upon oxidative stress and apoptosis. The heterogeneity of dopaminergic neuronal loss leads to etiopathogenic clues. In the same way, the model of functional organization of basal ganglia circuitry gives a basis for further experimental and therapeutic research."
20,18,PubMed,"Parkinson's disease: epidemiology, (differential) diagnosis, therapy, relation to dementia.",https://pubmed.ncbi.nlm.nih.gov/7763330/,"Parkinson's disease is a neurodegenerative progressive disorder with a prevalence of 1% in the population above 65 years of age. Thus, Parkinson's disease (PD) is 5 times less common than senile dementia of the Alzheimer type (SDAT). This article summarizes an epidemoliogical door to door survey on the prevalence of Parkinson syndromes in two German villages. It reviews the present possibilities to diagnose Parkinson's disease clinically and with pharmacological and imaging techniques. As 10-30% of Parkinson's disease patients become demented in the course of the disease, the question is addressed, how Parkinson's disease relates to SDAT. In addition, it is discussed, whether a global or focal deficit of cognitive function is present in Parkinson's disease. Finally, a new imaging technique based on the visualisation of dopamine uptake sites in the striatum by single photon computed emiss"
