source,title,text,url
Parkinson_Foundation,Parkinson_Foundation,"Understanding Parkinson's
There is a lot to know about Parkinson's disease (PD). Learn about its various symptoms, how it is diagnosed, treated, and most importantly, how to live a better life with Parkinson's. Parkinson’s is an individualized disease. While each person’s experience with Parkinson’s is unique, the more you know, the more empowered you will be to play an active role in your care and manage your life with Parkinson’s.
Get Informed
10 Early Signs
It can be hard to tell if you or a loved one has Parkinson’s. We highlight 10 signs that can indicate Parkinson’s. While no single one means you should worry, find out when you should talk to your doctor.
SEE EARLY SIGNSWhat is Parkinson’s?
Let’s break down Parkinson’s and the key takeaways you should understand about this disease. Get to know its stages, separate the myths from truths, and learn about conditions related to Parkinson’s.
LEARN MORECauses
Can you inherit Parkinson’s? Scientists believe a combination of genetic and environmental factors causes Parkinson’s. Learn more about the genes that are connected to PD and the role they play.
FIND OUT MOREUnderstanding Parkinson's Symptoms
  Parkinson’s is called a movement disorder because it affects movement, including tremors, slowness of movements and trouble walking. However, non-movement symptoms, such as trouble sleeping, depression and speech problems are extremely common and often more disabling than the symptoms you can see.
Finding Your Ideal Treatment
Parkinson’s treatments should be customized for each person and address the most troublesome symptoms. While the most common treatments include medication and surgical options, lifestyle modifications — like exercise — should also be part of your treatment plan. Finding the correct combination of treatments leads to a better quality of life.
Related Materials
Join the Fight Against Parkinson's
Support our mission to make life better for people with Parkinson’s. Your gift will help us improve care and advance research toward a cure.",https://www.parkinson.org/understanding-parkinsons
Parkinson_Foundation,Parkinson_Foundation,"What is Parkinson's?
Better understand the disease that affects 10 million people worldwide, along with its symptoms, causes and treatments.
💡 Quick Summary
- 
Parkinson’s disease is a progressive brain disorder that damages dopamine-producing neurons. 
- 
Symptoms include tremor, stiffness, slow movement and non-movement issues like depression or sleep issues. 
- 
Though no cure exists, treatments and Parkinson’s Foundation research help improve quality of life and advance early diagnosis. 
Parkinson's disease (PD)
A neurodegenerative disorder that affects predominately the dopamine-producing (“dopaminergic”) neurons in a specific area of the brain called substantia nigra.
What are the symptoms of Parkinson's disease?
Symptoms generally develop slowly over years. The progression of symptoms is often a bit different from one person to another due to the diversity of the disease. People with PD may experience:
- Tremor, mainly at rest and described as pill rolling tremor in hands; other forms of tremor are possible
- Slowness and paucity of movement (called bradykinesia and hypokinesia)
- Limb stiffness (rigidity)
- Gait and balance problems (postural instability)
In addition to movement-related (“motor”) symptoms, Parkinson’s symptoms may be unrelated to movement (“non-motor”). People with PD are often more impacted by their non-motor symptoms than motor symptoms. Examples of non-motor symptoms include: depression, anxiety, apathy, hallucinations, constipation, orthostatic hypotension, sleep disorders, loss of sense of smell, and a variety of cognitive impairments.
Cause
The cause remains largely unknown. Scientists believe a combination of genetic and environmental factors are the cause.
Treatment
Although there is no cure, treatment options vary and include medications, lifestyle adjustments and surgery. While Parkinson’s itself is not fatal, disease complications can be serious. The Centers for Disease Control and Prevention (CDC) rated complications from PD as the 14th cause of death in the U.S.
The first step to living well with Parkinson’s disease is to understand the disease and the progression.
It is possible to have a good to great quality of life with PD. Working with your doctor and following recommended therapies are essential in successfully treating symptoms by using dopaminergic medications. People with PD need this medication because they have low levels or are missing dopamine in the brain, mainly due to impairment of neurons in the substantia nigra.
It is important to understand that motor symptoms of PD only become evident later in the course of the disease, after 60% to 80% of the substantia nigra neurons have already been lost or impaired. Lewy bodies (accumulation of abnormal alpha-synuclein) are found in substantia nigra neurons of people with PD.
Advancing Research
The Parkinson’s Foundation research has led to breakthroughs in treatment and improved care that bring hope to the Parkinson's community. The field of Parkinson’s research is ongoing and ever evolving as we learn more about this disease.
Scientists are exploring ways to identify biomarkers for PD that can lead to earlier diagnosis and more tailored treatments to slow down the disease process. Currently, all therapies used for PD can improve symptoms but do not slow or halt the disease progression.
Page reviewed by Dr. Jun Yu, Movement Disorders Fellow at the University of Florida, a Parkinson’s Foundation Center of Excellence.
Related Materials
Related Blog Posts
Meet the Researcher Working to Develop an Imaging Biomarker for Parkinson’s
Join the Fight Against Parkinson's
Support ground-breaking research, care and community outreach",https://www.parkinson.org/understanding-parkinsons/what-is-parkinsons
Parkinson_Foundation,Parkinson_Foundation,"Movement Symptoms
💡 Quick Summary
- 
Parkinson’s disease primarily affects movement, causing bradykinesia (slowness), tremor and rigidity, which are key to diagnosis. 
- 
Other movement symptoms, such as postural instability, stooped posture and difficulty walking can develop later and vary between individuals. 
- 
Exercise and physical therapy are essential for maintaining mobility, easing symptoms and slowing disease progression. 
How does Parkinson's affect movement?
Parkinson’s disease (PD) is called a movement disorder because of the tremors, slowing and stiffening movements it can cause, and these are the most obvious symptoms of the disease. However, Parkinson’s affects many systems in the body. Its symptoms are different from person to person and usually develop slowly over time.
Read about Non-Movement Symptoms
Primary Movement Symptoms
There is no single test or scan for Parkinson’s, but there are three telltale symptoms that help doctors make a diagnosis:
- Bradykinesia (slowness of movement)
- Tremor
- Rigidity
Bradykinesia plus either tremor or rigidity must be present for a PD diagnosis to be considered.
Another movement symptom, postural instability (trouble with balance and falls), is often mentioned as a primary symptom, but it does not occur until later in the disease progression. In fact, problems with walking, balance and turning around early in the disease are likely a sign of an atypical parkinsonism. Though each person's path with PD is unique, active engagement in exercise and wellness is central to maintaining balance and movement for everyone who lives with PD.
Slowness, stiffness and shakiness can impact daily living. Exercise is proven to ease these and other PD symptoms and can slow disease progression. Verified exercise strategies can keep you moving well. A physical therapist with Parkinson’s expertise can help you get started.
Secondary Movement Symptoms
  Parkinson’s affects everyone differently and symptoms can change throughout the course of the disease. Only half of all people with PD will experience tremor, for instance. Though Parkinson's is diagnosed based on primary movement symptoms, it can produce many secondary movement symptoms too.
When alpha-synuclein, a common brain protein, misfolds and clumps specific areas of the brain, it diminishes the brain chemical dopamine. Dopamine is vital to smooth, coordinated movements and other body processes. Parkinson's symptoms arise from dopamine declines and affect people who live with the disease differently.
What causes Parkinson’s movement symptoms?
Dopamine is a chemical messenger (neurotransmitter) that is primarily responsible for controlling movement, emotional responses and the ability to feel pleasure and pain. In people with Parkinson’s, the cells that make dopamine are impaired. As Parkinson’s progresses, more dopamine-producing brain cells die. Your brain eventually reaches a point where it stops producing dopamine in any significant amount. This causes increasing problems with movement.
More Information
For more insights on Movement Symptoms, read 10 Early Signs of Parkinson's Disease.
Staying Active
Exercise — and tools such as PD Health @ Home Fitness Fridays — can minimize movement symptoms. In fact, exercise is as important to living well with Parkinson’s as medications and other therapies. Find an activity you love and work with your doctor to create a plan to stay well.
Page reviewed by Dr. Jun Yu, Movement Disorders Fellow at the University of Florida, a Parkinson’s Foundation Center of Excellence.
Related Materials
Pain in Parkinson's Disease
Occupational Therapy & Parkinson's
Managing ""Off"" Time in Parkinson's
Related Blog Posts
Meet a Researcher Working to Make Adaptive DBS More Effective
Join the Fight Against Parkinson's
Support ground-breaking research, care and community outreach",https://www.parkinson.org/understanding-parkinsons/symptoms
Michael_J_Fox,Michael_J_Fox,"<!DOCTYPE html>
<html lang=""en"" dir=""ltr"" prefix=""og: https://ogp.me/ns#"">
  <head>
    <meta charset=""utf-8"" />
<noscript><style>form.antibot * :not(.antibot-message) { display: none !important; }</style>
</noscript><link rel=""shortlink"" href=""https://www.michaeljfox.org/"" />
<link rel=""canonical"" href=""https://www.michaeljfox.org/"" />
<meta property=""og:site_name"" content=""The Michael J. Fox Foundation for Parkinson&#039;s Research | Parkinson&#039;s Disease"" />
<meta property=""og:type"" content=""website"" />
<meta property=""og:url"" content=""https://www.michaeljfox.org/understanding-parkinsons"" />
<meta property=""og:title"" content=""Page not found"" />
<meta property=""og:image"" content=""https://www.michaeljfox.org/themes/custom/fox/assets/images/png/og-image-logo.png"" />
<meta property=""fb:pages"" content=""135341373539"" />
<meta property=""fb:app_id"" content=""1497175750576887"" />
<meta name=""p:domain_verify"" content=""d117dcbe67f403df2172c484c3939361"" />
<script>
      window.mjffPageData = {
        'pageCategory': ""site"",
        'pageName': ""system.404"",
        'pageTitle': ""Page not found | Parkinson's Disease"",
        'subsection': ""site"",
      };
      window.dataLayer = window.dataLayer||[];
      window.dataLayer.push({
        'page': window.mjffPageData,
        'event': 'Page Loaded'
      });
    </script>
<meta name=""Generator"" content=""Drupal 10 (https://www.drupal.org)"" />
<meta name=""MobileOptimized"" content=""width"" />
<meta name=""HandheldFriendly"" content=""true"" />
<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"" />

    <title>Page not found | Parkinson&#039;s Disease</title>
    <link rel=""apple-touch-icon"" sizes=""60x60"" href=""/themes/custom/fox/assets/favicons/apple-touch-icon-60x60.png"">
<link rel=""apple-touch-icon"" sizes=""76x76"" href=""/themes/custom/fox/assets/favicons/apple-touch-icon-76x76.png"">
<link rel=""apple-touch-icon"" sizes=""120x120"" href=""/themes/custom/fox/assets/favicons/apple-touch-icon-120x120.png"">
<link rel=""apple-touch-icon"" sizes=""152x152"" href=""/themes/custom/fox/assets/favicons/apple-touch-icon-152x152.png"">
<link rel=""apple-touch-icon"" sizes=""180x180"" href=""/themes/custom/fox/assets/favicons/apple-touch-icon-180x180.png"">
<link rel=""icon"" type=""image/png"" sizes=""32x32"" href=""/themes/custom/fox/assets/favicons/favicon-32x32.png"">
<link rel=""icon"" type=""image/png"" sizes=""16x16"" href=""/themes/custom/fox/assets/favicons/favicon-16x16.png"">
<link rel=""mask-icon"" href=""/themes/custom/fox/assets/favicons/safari-pinned-tab.svg"" color=""#e07800"">
<link rel=""shortcut icon"" type=""image/x-icon"" href=""/themes/custom/fox/assets/favicons/favicon.ico"">
<link rel=""manifest"" href=""/themes/custom/fox/assets/favicons/site.webmanifest"">
<meta name=""msapplication-TileColor"" content=""#ffffff"">
<meta name=""msapplication-config"" content=""/themes/custom/fox/assets/favicons/browserconfig.xml"">
<meta name=""theme-color"" content=""#ffffff"">

    <script>
  (function(d) {
    var config = {
      kitId: 'unq4xez',
      scriptTimeout: 3000,
      async: true
    },
